Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,33.3,37.7,28.1,998,66,0,1.9,6.5,9.4
2,30.3,35.3,28.4,996.9,81,38.1,1.9,0.9,7.6
3,31.4,36.6,27,995.3,72,0,1.9,5.7,13
7,31,34,29,996.8,71,0,1.9,5.6,16.5
8,30.9,35,27.6,998.4,73,0.51,1.9,5.9,14.8
9,30.9,35.4,27,1000.3,75,0,1.9,4.8,16.5
13,32,36.6,27,998.1,63,0,2.3,20.7,27.8
14,30.5,36.2,25.4,997.3,65,0,2.3,18.5,29.4
15,31.2,35.7,27.6,999,62,0,1.9,14.6,27.8
19,33,37,27,1004.8,59,0,1.9,6.9,16.5
20,33.3,38.4,28,1002.5,54,0,1.9,8.9,18.3
21,32.6,38.4,28,1001.3,51,0,1.9,10.9,27.8
25,33.7,39.1,27.5,1002.6,53,0,2.7,7.8,16.5
26,34.1,39.4,29,1001.5,49,0,3.1,10,18.3
27,34.1,39.4,27.5,1001.1,53,0,2.9,8,20.6
31,27.5,34.8,25,1001,89,2.03,1.9,4.3,16.5
