Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,30.4,37.5,21.6,1006.3,41,0,2.6,12,27.8
2,32.3,39,21.5,1007.3,39,0,3.4,5.4,13
3,33.4,39.1,24.8,1008,47,0,2.1,2.6,7.6
7,29.5,36.9,21.5,1007.2,41,0,2.3,11.3,16.5
8,29.3,36,18.8,1008.8,37,0,3.2,4.8,11.1
9,30.9,37,19,1008.9,33,0,2.6,6.9,14.8
13,31.6,38,23.2,1002.6,30,0,3.1,18.7,35.2
14,33.1,39,24,1003,26,0,2.6,10.4,24.1
15,33.6,40,23,1003.8,27,0,2.4,9.8,18.3
16,-,-,-,-,-,-,-,-,-
20,34,40.6,26.3,1005.5,29,0,2.6,13.9,22.2
21,33.9,39.6,25.8,1002.7,28,0,2.7,15.7,29.4
22,33.3,39.4,24.8,1000.7,28,-,3.1,8.3,18.3
26,33.4,40,21.2,1006.3,27,0,2.6,3.7,14.8
27,33.2,40.3,22.2,1005.1,29,0,2.3,5,14.8
28,34,40.7,22.2,1004.6,24,0,2.4,11.9,22.2
